============================================================
           BRUTE-FORCE NEAR-DUPLICATE DETECTION            
============================================================

=== Parameters ===
Shingle size (k): 4
Similarity threshold: 0.7
Total comparisons: 999900
Execution time: 124.520 seconds

=== Detection Results ===
Query Document           Matched Corpus           Similarity
IELTS_002_VAR_097        IELTS_002                0.9170
IELTS_002_VAR_098        IELTS_002                0.9399
IELTS_002_VAR_099        IELTS_002                0.9118
IELTS_002_VAR_100        IELTS_002                0.9408
IELTS_003_VAR_001        IELTS_003                0.9776
IELTS_003_VAR_002        IELTS_003                0.9348
IELTS_003_VAR_003        IELTS_003                0.9776
IELTS_003_VAR_004        IELTS_003                0.9277
IELTS_003_VAR_005        IELTS_003                0.9537
IELTS_003_VAR_006        IELTS_003                0.8958
IELTS_003_VAR_007        IELTS_003                0.9184
IELTS_003_VAR_008        IELTS_003                0.8958
IELTS_003_VAR_009        IELTS_003                0.9061
IELTS_003_VAR_010        IELTS_003                0.9133
IELTS_003_VAR_011        IELTS_003                0.9757
IELTS_003_VAR_012        IELTS_003                0.9538
IELTS_003_VAR_013        IELTS_003                0.9302
IELTS_003_VAR_014        IELTS_003                0.9545
IELTS_003_VAR_015        IELTS_003                0.8708
IELTS_003_VAR_016        IELTS_003                0.9117
IELTS_003_VAR_017        IELTS_003                0.8825
IELTS_003_VAR_018        IELTS_003                0.9339
IELTS_003_VAR_019        IELTS_003                0.9027
IELTS_003_VAR_020        IELTS_003                0.9117
IELTS_003_VAR_021        IELTS_003                0.9061
IELTS_003_VAR_022        IELTS_003                0.9679
IELTS_003_VAR_023        IELTS_003                0.8874
IELTS_003_VAR_024        IELTS_003                0.9615
IELTS_003_VAR_025        IELTS_003                0.9469
IELTS_003_VAR_026        IELTS_003                0.9432
IELTS_003_VAR_027        IELTS_003                0.9010
IELTS_003_VAR_028        IELTS_003                0.9340
IELTS_003_VAR_029        IELTS_003                0.9238
IELTS_003_VAR_030        IELTS_003                0.9432
IELTS_003_VAR_031        IELTS_003                0.9249
IELTS_003_VAR_032        IELTS_003                0.9241
IELTS_003_VAR_033        IELTS_003                0.9217
IELTS_003_VAR_034        IELTS_003                0.9396
IELTS_003_VAR_035        IELTS_003                0.9717
IELTS_003_VAR_036        IELTS_003                0.8659
IELTS_003_VAR_037        IELTS_003                0.8542
IELTS_003_VAR_038        IELTS_003                0.8138
IELTS_003_VAR_039        IELTS_003                0.8283
IELTS_003_VAR_040        IELTS_003                0.8872
IELTS_003_VAR_041        IELTS_003                0.8629
IELTS_003_VAR_042        IELTS_003                0.8424
IELTS_003_VAR_043        IELTS_003                0.8629
IELTS_003_VAR_044        IELTS_003                0.8609
IELTS_003_VAR_045        IELTS_003                0.8708
IELTS_003_VAR_046        IELTS_003                0.8611
IELTS_003_VAR_047        IELTS_003                0.8312
IELTS_003_VAR_048        IELTS_003                0.8333
IELTS_003_VAR_049        IELTS_003                0.8692
IELTS_003_VAR_050        IELTS_003                0.8622
IELTS_003_VAR_051        IELTS_003                0.8453
IELTS_003_VAR_052        IELTS_003                0.8819
IELTS_003_VAR_053        IELTS_003                0.8843
IELTS_003_VAR_054        IELTS_003                0.8345
IELTS_003_VAR_055        IELTS_003                0.8251
IELTS_003_VAR_056        IELTS_003                0.8694
IELTS_003_VAR_057        IELTS_003                0.8470
IELTS_003_VAR_058        IELTS_003                0.8259
IELTS_003_VAR_059        IELTS_003                0.8713
IELTS_003_VAR_060        IELTS_003                0.8501
IELTS_003_VAR_061        IELTS_003                0.8743
IELTS_003_VAR_062        IELTS_003                0.8210
IELTS_003_VAR_063        IELTS_003                0.8614
IELTS_003_VAR_064        IELTS_003                0.8722
IELTS_003_VAR_065        IELTS_003                0.8011
IELTS_003_VAR_066        IELTS_003                0.8522
IELTS_003_VAR_067        IELTS_003                0.8201
IELTS_003_VAR_068        IELTS_003                0.8820
IELTS_003_VAR_069        IELTS_003                0.8738
IELTS_003_VAR_070        IELTS_003                0.8355
IELTS_003_VAR_071        IELTS_003                0.8210
IELTS_003_VAR_072        IELTS_003                0.7908
IELTS_003_VAR_073        IELTS_003                0.7727
IELTS_003_VAR_074        IELTS_003                0.8076
IELTS_003_VAR_075        IELTS_003                0.7996
IELTS_003_VAR_076        IELTS_003                0.7828
IELTS_003_VAR_077        IELTS_003                0.8180
IELTS_003_VAR_078        IELTS_003                0.7842
IELTS_003_VAR_079        IELTS_003                0.8071
IELTS_003_VAR_080        IELTS_003                0.7824
IELTS_003_VAR_081        IELTS_003                0.7655
IELTS_003_VAR_082        IELTS_003                0.7932
IELTS_003_VAR_083        IELTS_003                0.7858
IELTS_003_VAR_084        IELTS_003                0.8183
IELTS_003_VAR_085        IELTS_003                0.8175
IELTS_003_VAR_086        IELTS_003                0.8116
IELTS_003_VAR_087        IELTS_003                0.7792
IELTS_003_VAR_088        IELTS_003                0.7806
IELTS_003_VAR_089        IELTS_003                0.8208
IELTS_003_VAR_090        IELTS_003                0.8123
IELTS_003_VAR_091        IELTS_003                0.7791
IELTS_003_VAR_092        IELTS_003                0.8011
IELTS_003_VAR_093        IELTS_003                0.8004
IELTS_003_VAR_094        IELTS_003                0.8137
IELTS_003_VAR_095        IELTS_003                0.7982
IELTS_003_VAR_096        IELTS_003                0.7839
IELTS_003_VAR_097        IELTS_003                0.8069
IELTS_003_VAR_098        IELTS_003                0.7926
IELTS_003_VAR_099        IELTS_003                0.8169
IELTS_003_VAR_100        IELTS_003                0.8125
IELTS_004_VAR_001        IELTS_004                0.9520
IELTS_004_VAR_002        IELTS_004                0.9631
IELTS_004_VAR_003        IELTS_004                0.9673
IELTS_004_VAR_004        IELTS_004                0.9437
IELTS_004_VAR_005        IELTS_004                0.9613
IELTS_004_VAR_006        IELTS_004                0.9786
IELTS_004_VAR_007        IELTS_004                0.9672
IELTS_004_VAR_008        IELTS_004                0.9743
IELTS_004_VAR_009        IELTS_004                0.9569
IELTS_004_VAR_010        IELTS_004                0.9647
IELTS_004_VAR_011        IELTS_004                0.9537
IELTS_004_VAR_012        IELTS_004                0.9595
IELTS_004_VAR_013        IELTS_004                0.9760
IELTS_004_VAR_014        IELTS_004                0.9751
IELTS_004_VAR_015        IELTS_004                0.9613
IELTS_004_VAR_016        IELTS_004                0.9777
IELTS_004_VAR_017        IELTS_004                0.9760
IELTS_004_VAR_018        IELTS_004                0.9892
IELTS_004_VAR_019        IELTS_004                0.9561
IELTS_004_VAR_020        IELTS_004                0.9964
IELTS_004_VAR_021        IELTS_004                0.9520
IELTS_004_VAR_022        IELTS_004                0.9537
IELTS_004_VAR_023        IELTS_004                0.9777
IELTS_004_VAR_024        IELTS_004                0.9946
IELTS_004_VAR_025        IELTS_004                0.9777
IELTS_004_VAR_026        IELTS_004                0.9830
IELTS_004_VAR_027        IELTS_004                0.9707
IELTS_004_VAR_028        IELTS_004                0.9603
IELTS_004_VAR_029        IELTS_004                0.9622
IELTS_004_VAR_030        IELTS_004                0.9528
IELTS_004_VAR_031        IELTS_004                0.9717
IELTS_004_VAR_032        IELTS_004                0.9521
IELTS_004_VAR_033        IELTS_004                0.9553
IELTS_004_VAR_034        IELTS_004                0.9743
IELTS_004_VAR_035        IELTS_004                0.9656
IELTS_004_VAR_036        IELTS_004                0.9299
IELTS_004_VAR_037        IELTS_004                0.9380
IELTS_004_VAR_038        IELTS_004                0.9332
IELTS_004_VAR_039        IELTS_004                0.9226
IELTS_004_VAR_040        IELTS_004                0.9478
IELTS_004_VAR_041        IELTS_004                0.9158
IELTS_004_VAR_042        IELTS_004                0.9275
IELTS_004_VAR_043        IELTS_004                0.9387
IELTS_004_VAR_044        IELTS_004                0.9307
IELTS_004_VAR_045        IELTS_004                0.9279
IELTS_004_VAR_046        IELTS_004                0.9478
IELTS_004_VAR_047        IELTS_004                0.9210
IELTS_004_VAR_048        IELTS_004                0.9025
IELTS_004_VAR_049        IELTS_004                0.9579
IELTS_004_VAR_050        IELTS_004                0.9396
IELTS_004_VAR_051        IELTS_004                0.9453
IELTS_004_VAR_052        IELTS_004                0.9279
IELTS_004_VAR_053        IELTS_004                0.9123
IELTS_004_VAR_054        IELTS_004                0.9562
IELTS_004_VAR_055        IELTS_004                0.9290
IELTS_004_VAR_056        IELTS_004                0.9453
IELTS_004_VAR_057        IELTS_004                0.9436
IELTS_004_VAR_058        IELTS_004                0.9396
IELTS_004_VAR_059        IELTS_004                0.9345
IELTS_004_VAR_060        IELTS_004                0.9388
